Domain,Solver,Episode,Rewards,Steps
CliffWalking,Q-Learning,1,-101.0,101
CliffWalking,Q-Learning,2,-100.0,1
CliffWalking,Q-Learning,3,-120.0,21
CliffWalking,Q-Learning,4,-111.0,12
CliffWalking,Q-Learning,5,-155.0,56
CliffWalking,Q-Learning,6,-107.0,8
CliffWalking,Q-Learning,7,-193.0,94
CliffWalking,Q-Learning,8,-129.0,30
CliffWalking,Q-Learning,9,-111.0,12
CliffWalking,Q-Learning,10,-162.0,63
CliffWalking,Q-Learning,11,-200.0,101
CliffWalking,Q-Learning,12,-147.0,48
CliffWalking,Q-Learning,13,-139.0,40
CliffWalking,Q-Learning,14,-134.0,35
CliffWalking,Q-Learning,15,-184.0,85
CliffWalking,Q-Learning,16,-125.0,26
CliffWalking,Q-Learning,17,-225.0,126
CliffWalking,Q-Learning,18,-176.0,77
CliffWalking,Q-Learning,19,-122.0,23
CliffWalking,Q-Learning,20,-121.0,121
CliffWalking,Q-Learning,21,-136.0,37
CliffWalking,Q-Learning,22,-113.0,14
CliffWalking,Q-Learning,23,-105.0,105
CliffWalking,Q-Learning,24,-123.0,24
CliffWalking,Q-Learning,25,-127.0,28
CliffWalking,Q-Learning,26,-151.0,151
CliffWalking,Q-Learning,27,-104.0,5
CliffWalking,Q-Learning,28,-92.0,92
CliffWalking,Q-Learning,29,-100.0,100
CliffWalking,Q-Learning,30,-159.0,159
CliffWalking,Q-Learning,31,-109.0,10
CliffWalking,Q-Learning,32,-30.0,30
CliffWalking,Q-Learning,33,-87.0,87
CliffWalking,Q-Learning,34,-88.0,88
CliffWalking,Q-Learning,35,-114.0,15
CliffWalking,Q-Learning,36,-44.0,44
CliffWalking,Q-Learning,37,-83.0,83
CliffWalking,Q-Learning,38,-59.0,59
CliffWalking,Q-Learning,39,-94.0,94
CliffWalking,Q-Learning,40,-135.0,36
CliffWalking,Q-Learning,41,-62.0,62
CliffWalking,Q-Learning,42,-50.0,50
CliffWalking,Q-Learning,43,-58.0,58
CliffWalking,Q-Learning,44,-68.0,68
CliffWalking,Q-Learning,45,-103.0,103
CliffWalking,Q-Learning,46,-44.0,44
CliffWalking,Q-Learning,47,-76.0,76
CliffWalking,Q-Learning,48,-42.0,42
CliffWalking,Q-Learning,49,-81.0,81
CliffWalking,Q-Learning,50,-104.0,5
CliffWalking,Q-Learning,51,-64.0,64
CliffWalking,Q-Learning,52,-100.0,1
CliffWalking,Q-Learning,53,-155.0,56
CliffWalking,Q-Learning,54,-117.0,18
CliffWalking,Q-Learning,55,-35.0,35
CliffWalking,Q-Learning,56,-67.0,67
CliffWalking,Q-Learning,57,-101.0,2
CliffWalking,Q-Learning,58,-149.0,50
CliffWalking,Q-Learning,59,-50.0,50
CliffWalking,Q-Learning,60,-38.0,38
CliffWalking,Q-Learning,61,-123.0,24
CliffWalking,Q-Learning,62,-55.0,55
CliffWalking,Q-Learning,63,-27.0,27
CliffWalking,Q-Learning,64,-31.0,31
CliffWalking,Q-Learning,65,-77.0,77
CliffWalking,Q-Learning,66,-43.0,43
CliffWalking,Q-Learning,67,-87.0,87
CliffWalking,Q-Learning,68,-128.0,29
CliffWalking,Q-Learning,69,-30.0,30
CliffWalking,Q-Learning,70,-27.0,27
CliffWalking,Q-Learning,71,-140.0,41
CliffWalking,Q-Learning,72,-48.0,48
CliffWalking,Q-Learning,73,-49.0,49
CliffWalking,Q-Learning,74,-46.0,46
CliffWalking,Q-Learning,75,-31.0,31
CliffWalking,Q-Learning,76,-54.0,54
CliffWalking,Q-Learning,77,-36.0,36
CliffWalking,Q-Learning,78,-55.0,55
CliffWalking,Q-Learning,79,-25.0,25
CliffWalking,Q-Learning,80,-37.0,37
CliffWalking,Q-Learning,81,-24.0,24
CliffWalking,Q-Learning,82,-36.0,36
CliffWalking,Q-Learning,83,-162.0,63
CliffWalking,Q-Learning,84,-122.0,23
CliffWalking,Q-Learning,85,-19.0,19
CliffWalking,Q-Learning,86,-32.0,32
CliffWalking,Q-Learning,87,-138.0,39
CliffWalking,Q-Learning,88,-19.0,19
CliffWalking,Q-Learning,89,-100.0,1
CliffWalking,Q-Learning,90,-34.0,34
CliffWalking,Q-Learning,91,-25.0,25
CliffWalking,Q-Learning,92,-112.0,13
CliffWalking,Q-Learning,93,-51.0,51
